timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779574493306,293,Cache Miss HTTP Request,404,,Cache Miss / DB Lookup 2-2,text,true,,348,153,3,59,http://localhost/MISS_e1b8c749-10fa-4ad4-a787-6e895f6a11c8,292,0,65
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-9,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,75
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-13,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,65
1779574493309,289,Coalescing HTTP Request,404,,Request Coalescing 3-44,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,288,0,62
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-29,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,67
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-17,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,68
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-20,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,289,0,66
1779574493309,289,Coalescing HTTP Request,404,,Request Coalescing 3-19,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,285,0,66
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-47,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,289,0,66
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-7,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,72
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-45,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,291,0,75
1779574493305,293,Cache Miss HTTP Request,404,,Cache Miss / DB Lookup 2-1,text,true,,348,153,3,59,http://localhost/MISS_a847974a-e6a5-457a-8b02-a20505d5d232,292,0,72
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-34,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,292,0,65
1779574493305,293,Coalescing HTTP Request,404,,Request Coalescing 3-24,text,true,,344,149,50,59,http://localhost/COALESCE_coalesce_run_20260524_011451,289,0,65
